ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_y
6050	605											0.0						Cancelled	-17.8706744758682	28.4939281490285
6060	606											0.0						Cancelled	-17.8713444444444	28.500925
7040	704	282_2025-03-04_10-38-55, 282_2025-03-04_10-41-55, 282_2025-03-04_13-00-00, 282_2025-03-04_13-06-00, 282_2025-03-04_13-17-00, 282_2025-03-04_13-44-00	282	50.0	50.0	50.0	43.0	LaPalma_ADU7		Vincent	2025-03-04 13:00:00+00:00	0.0	2025-03-05				Vincent	Accepted	-17.8608555546312	28.4840388916711
7050	705	221_2025-03-05_12-04-23, 221_2025-03-05_12-12-23, 221_2025-03-05_13-00-00, 221_2025-03-05_13-06-00, 221_2025-03-05_13-17-00, 221_2025-03-05_13-44-00	221	50.0	45.0	25.0	30.0	LaPalma_ADU7	agriculture land, slope in Ey, Ey in the middle of 2 roads	Vincent		0.0						Pending	-17.8615972084492	28.4917471977439
7060	706	025_2025-03-05_10-37-25, 025_2025-03-05_10-40-25, 025_2025-03-05_13-00-00, 025_2025-03-05_13-06-00, 025_2025-03-05_13-17-00, 025_2025-03-05_13-44-00, 025_2025-03-06_13-00-00, 025_2025-03-06_13-06-00, 025_2025-03-06_13-17-00, 025_2025-03-06_13-44-00	025	50.0	50.0	50.0	30.0	LaPalma_ADU8	agriculture land	Vincent	2025-03-05 13:00:00+00:00	0.0						Pending	-17.8613833334009	28.4998027799797
7070	707	282_2025-03-13_10-14-04, 282_2025-03-13_10-17-04, 282_2025-03-13_13-00-00, 282_2025-03-13_13-06-00, 282_2025-03-13_13-17-00, 282_2025-03-13_13-44-00	282	38.0	34.0	29.0	43.0	LaPalma_ADU7	main road 50m, metal fence 75m, in a crater	Adam		0.0						Recording	-17.8681166701092	28.5111916669359
8030	803	051_2025-03-04_13-00-00, 051_2025-03-04_13-06-00, 051_2025-03-04_13-17-00, 051_2025-03-04_13-44-00	051	50.0	50.0	50.0	50.0	LaPalma_ADU7	volcano, basalt, pebbly, very dry	Vincent	2025-03-04 13:00:00+00:00	0.0	2025-03-05				Vincent	Accepted	-17.853847218537	28.4752305559104
8040	804	025_2025-03-07_13-51-00, 025_2025-03-08_13-46-38	025	50.0	50.0	50.0		LaPalma_ADU8		Vincent	NaT	0.0						Pending	-17.845986115484	28.4861972394444
8050	805	221_2025-03-07_10-27-11, 221_2025-03-07_10-35-11, 221_2025-03-07_13-00-00, 221_2025-03-07_13-06-00, 221_2025-03-07_13-17-00, 221_2025-03-07_13-44-00	221	50.0	50.0	50.0		LaPalma_ADU7		Vincent	NaT	0.0						Pending	-17.8502194405837	28.4924999992576
8060	806	282_2025-02-27_10-07-37, 282_2025-02-27_10-10-37, 282_2025-02-27_13-00-00, 282_2025-02-27_13-06-00, 282_2025-02-27_13-17-00, 282_2025-02-27_13-44-00	282	50.0	50.0	50.0	50.0	LaPalma_ADU7	East 30 m dipole due to terrain obstacle	Vincent	2025-02-27 13:00:00+00:00	0.0	2025-02-28				Vincent	Accepted	-17.8501555443207	28.5022555551199
8070	807	051_2025-02-27_12-20-15, 051_2025-02-27_12-23-15, 051_2025-02-27_13-00-00, 051_2025-02-27_13-06-00, 051_2025-02-27_13-17-00, 051_2025-02-27_13-44-00	051	50.0	50.0	50.0	30.0	LaPalma_ADU7	slope in E-W	Vincent	2025-02-27 13:00:00+00:00	0.0	2025-02-28				Vincent	Accepted	-17.8518888812231	28.5105722248713
8080	808	221_2025-02-28_10-24-35, 221_2025-02-28_10-27-35, 221_2025-02-28_13-00-00, 221_2025-02-28_13-06-00, 221_2025-02-28_13-17-00, 221_2025-02-28_13-44-00	221	50.0	50.0	50.0	50.0	LaPalma_ADU7		Vincent	2025-02-28 13:00:00+00:00	0.0	2025-03-01		Hx lot of spikes, data gap 200-5000Hz		Vincent	Rejected	-17.8499055517542	28.5201333355653
8190	819										NaT							Projected	-17.8498833386469	28.6162861186063
9030	903	282_2025-03-06_11-57-19, 282_2025-03-06_12-05-19, 282_2025-03-06_13-00-00, 282_2025-03-06_13-06-00, 282_2025-03-06_13-17-00, 282_2025-03-06_13-44-00	282	50.0	50.0	50.0		LaPalma_ADU7		Vincent	NaT	0.0						Pending	-17.8402749959137	28.4741833208824
