ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_y
6050	605																		-17.8706744758682	28.4939281490285
6060	606																		-17.8713444444444	28.500925
7040	704		282	50.0	50.0	50.0	50.0			Vincent	2025-03-04 13:00:00	0.0	2025-03-05				Vincent	Accepted	-17.8608555546312	28.4840388916711
7050	705		221	50.0	50.0	50.0	50.0		agriculture land, slope in Ey, Ey in the middle of 2 roads	Vincent	2025-03-05 13:00:00	0.0						Measured	-17.8615972084492	28.4917471977439
7060	706		025	50.0	50.0	50.0	50.0		agriculture land	Vincent	2025-03-05 13:00:00	0.0						Measured	-17.8613833334009	28.4998027799797
7070	707																		-17.8681166701092	28.5111916669359
8030	803		051	50.0	50.0	50.0	50.0		volcano, basalt, pebbly, very dry	Vincent	2025-03-04 13:00:00	0.0	2025-03-05				Vincent	Accepted	-17.853847218537	28.4752305559104
8040	804																		-17.845986115484	28.4861972394444
8050	805																		-17.8502194405837	28.4924999992576
8060	806		282	50.0	50.0	50.0	50.0		East 30 m dipole due to terrain obstacle	Vincent	2025-02-27 13:00:00	0.0	2025-02-28				Vincent	Accepted	-17.8501555443207	28.5022555551199
8070	807		051	50.0	50.0	50.0	50.0		slope in E-W	Vincent	2025-02-27 13:00:00	0.0	2025-02-28				Vincent	Accepted	-17.8518888812231	28.5105722248713
8080	808		221	50.0	50.0	50.0	50.0			Vincent	2025-02-28 13:00:00	0.0	2025-03-01		Hx lot of spikes, data gap 200-5000Hz		Vincent	Rejected	-17.8499055517542	28.5201333355653
8190	819																		-17.8498833386469	28.6162861186063
9030	903																		-17.8402749959137	28.4741833208824
9040	904																		-17.8410527894095	28.481611115827
9050	905																		-17.8406027766859	28.49200834705
9060	906		221	50.0	50.0	50.0	50.0		slope in E	Vincent	2025-03-03 13:00:00	0.0	2025-03-04				Vincent	Accepted	-17.842394445776	28.5009611122864
9070	907		025	50.0	50.0	50.0	50.0			Vincent	2025-03-03 13:00:00	0.0	2025-03-04		scattered 200-2000 Hz		Vincent	Accepted	-17.8413666642189	28.5094166683218
9080	908		025	50.0	50.0	50.0	50.0		volcanic dust, meas. Of 256 Hz didn’t start corretly, restarted 1/3/2025 at 14:15	Vincent	2025-02-28 13:00:00	0.0	2025-03-03		42 hours of meas.		Vincent	Accepted	-17.8413055564154	28.5183638849643
9190	919																		-17.8410916515209	28.6150610976699
10050	1005																		-17.8309444436612	28.4922333315391
10060	1006																		-17.8314499955352	28.5015805498735
10070	1007		051	50.0	50.0	50.0	50.0		volcanic dust	Vincent	2025-03-01 13:00:00	0.0	2025-03-03				Vincent	Pending	-17.8301888944989	28.5087527811386
10080	1008		282	50.0	50.0	50.0	50.0		slope in Ey	Vincent	2025-03-01 13:00:00	0.0	2025-03-03				Vincent	Accepted	-17.8314194419321	28.5169805554685
10180	1018																		-17.8326860980004	28.6091444429679
10190	1019																		-17.8337722246369	28.614988892075
11050	1105																		-17.824299988619	28.493186113537
11060	1106																		-17.8220444645724	28.501374996495
11070	1107																		-17.8223944544255	28.5106027692571
